persona_id,CR,RelCR_single,RelCR_mean,RelCR_union,UIR,HMC,Jaccard,SIR,gender,age_group,economic
persona_0001,0.455,1.027,1.019,0.954,0.468,14.19,0.458,0.032,female,under 25,low
persona_0002,0.47,1.04,1.038,0.97,0.484,13.68,0.477,0.029,male,under 25,middle
persona_0003,0.419,0.943,0.922,0.865,0.44,14.43,0.429,0.041,female,under 25,low
persona_0004,0.437,0.972,0.973,0.914,0.448,14.6,0.442,0.03,male,under 25,low
persona_0005,0.439,0.988,0.986,0.93,0.453,14.54,0.447,0.019,female,25-39,low
persona_0006,0.457,1.026,1.012,0.95,0.467,14.24,0.466,0.016,female,25-39,middle
persona_0007,0.443,1.005,1.003,0.939,0.453,14.52,0.447,0.021,male,under 25,low
persona_0008,0.446,1.002,0.994,0.929,0.455,14.48,0.449,0.024,male,under 25,middle
persona_0009,0.433,0.974,0.963,0.902,0.443,13.78,0.424,0.077,female,under 25,low
persona_0010,0.413,0.933,0.928,0.867,0.427,15.25,0.427,0.002,female,under 25,middle
persona_0011,0.455,1.013,1.017,0.954,0.478,12.95,0.451,0.076,male,25-39,low
persona_0012,0.474,1.057,1.055,0.989,0.488,14.05,0.486,0.006,male,under 25,middle
persona_0013,0.463,1.025,1.03,0.964,0.482,13.26,0.472,0.039,male,under 25,low
persona_0014,0.456,1.027,1.024,0.959,0.471,13.78,0.454,0.058,female,25-39,low
persona_0015,0.43,0.965,0.969,0.908,0.44,14.83,0.434,0.026,female,25-39,low
persona_0016,0.408,0.907,0.902,0.849,0.424,15.12,0.419,0.026,female,25-39,low
persona_0017,0.416,0.923,0.922,0.866,0.432,14.79,0.419,0.045,female,under 25,low
persona_0018,0.437,0.984,0.983,0.918,0.452,14.72,0.451,0.005,female,25-39,middle
persona_0019,0.436,0.973,0.965,0.903,0.453,14.34,0.446,0.026,male,25-39,low
persona_0020,0.437,0.96,0.963,0.903,0.45,14.76,0.448,0.014,male,25-39,middle
persona_0021,0.388,0.87,0.868,0.818,0.395,16.23,0.395,0.004,,,
persona_0022,0.4,0.898,0.898,0.844,0.409,15.74,0.409,0.004,,,
persona_0023,0.459,1.025,1.027,0.96,0.466,14.46,0.465,0.007,,,
persona_0024,0.454,1.018,1.018,0.951,0.462,14.51,0.461,0.009,,,
persona_0025,0.442,0.986,0.977,0.913,0.449,14.83,0.449,0.003,,,
persona_0026,0.449,1.006,1.007,0.943,0.457,14.63,0.456,0.005,,,
persona_0027,0.459,1.032,1.033,0.969,0.466,14.71,0.465,0.005,,,
persona_0028,0.406,0.908,0.903,0.847,0.415,15.98,0.415,0.004,,,
persona_0029,0.451,1.0,1.0,0.94,0.459,14.64,0.457,0.011,,,
persona_0030,0.436,0.988,0.986,0.919,0.439,15.12,0.439,0.005,,,
persona_0031,0.406,0.899,0.901,0.843,0.414,15.97,0.413,0.001,,,
persona_0032,0.434,0.979,0.977,0.915,0.442,14.97,0.442,0.003,,,
persona_0033,0.439,0.991,0.981,0.917,0.445,15.08,0.444,0.004,,,
persona_0034,0.435,0.978,0.967,0.907,0.443,15.05,0.442,0.005,,,
persona_0035,0.413,0.919,0.918,0.862,0.422,15.81,0.421,0.004,,,
persona_0036,0.466,1.053,1.046,0.977,0.469,14.34,0.468,0.007,,,
persona_0037,0.457,1.022,1.02,0.953,0.461,14.71,0.46,0.005,,,
persona_0038,0.49,1.104,1.102,1.033,0.496,13.71,0.495,0.005,,,
persona_0039,0.459,1.037,1.026,0.962,0.468,14.66,0.466,0.006,,,
persona_0040,0.398,0.887,0.892,0.832,0.404,15.95,0.402,0.009,,,
persona_0041,0.459,1.013,1.022,0.956,0.462,14.66,0.462,0.006,,,
persona_0042,0.431,0.963,0.964,0.904,0.436,15.42,0.435,0.004,,,
persona_0043,0.433,0.97,0.967,0.908,0.44,15.15,0.438,0.008,,,
persona_0044,0.454,1.012,1.009,0.946,0.461,14.93,0.459,0.004,,,
persona_0045,0.46,1.018,1.019,0.951,0.466,14.67,0.466,0.006,,,
persona_0046,0.44,0.989,0.983,0.916,0.448,14.96,0.445,0.007,,,
persona_0047,0.458,1.023,1.024,0.962,0.468,14.49,0.468,0.003,,,
persona_0048,0.448,1.003,1.002,0.944,0.456,14.72,0.455,0.004,,,
persona_0049,0.458,1.026,1.029,0.966,0.465,14.66,0.465,0.002,,,
persona_0050,0.485,1.084,1.087,1.018,0.487,14.16,0.487,0.005,,,
