query_id,CR,RelCR_single,RelCR_mean,RelCR_union,UIR,HMC,Jaccard,SIR
narrowing_queries_100_0001,0.488,0.769,0.767,0.65,0.497,13.82,0.496,0.003
narrowing_queries_100_0002,0.54,1.046,1.045,1.038,0.573,9.54,0.544,0.069
narrowing_queries_100_0003,0.687,1.056,1.056,0.973,0.688,5.3,0.688,0.0
narrowing_queries_100_0004,0.549,1.101,1.1,1.098,0.55,9.88,0.548,0.003
narrowing_queries_100_0005,0.293,1.005,0.983,0.629,0.297,29.64,0.296,0.006
narrowing_queries_100_0006,0.663,1.131,1.129,1.085,0.667,5.94,0.666,0.003
narrowing_queries_100_0007,0.661,0.944,0.944,0.944,0.669,6.5,0.667,0.005
narrowing_queries_100_0008,0.607,0.807,0.805,0.794,0.607,6.68,0.607,0.0
narrowing_queries_100_0009,0.532,0.798,0.798,0.798,0.537,8.26,0.537,0.0
narrowing_queries_100_0010,0.4,0.964,0.964,0.8,0.406,14.0,0.406,0.003
narrowing_queries_100_0011,0.493,0.984,0.984,0.896,0.493,10.14,0.493,0.0
narrowing_queries_100_0012,0.378,0.751,0.748,0.536,0.392,19.9,0.39,0.008
narrowing_queries_100_0013,0.518,0.837,0.837,0.837,0.528,9.12,0.504,0.069
narrowing_queries_100_0014,0.531,0.907,0.903,0.755,0.539,12.24,0.538,0.003
narrowing_queries_100_0015,0.358,0.769,0.762,0.687,0.362,14.34,0.36,0.017
narrowing_queries_100_0016,0.39,1.048,1.048,0.909,0.415,18.98,0.413,0.012
narrowing_queries_100_0017,0.187,0.578,0.578,0.474,0.19,77.08,0.189,0.022
narrowing_queries_100_0018,0.708,1.035,1.035,1.035,0.708,5.54,0.707,0.002
narrowing_queries_100_0019,0.372,0.676,0.675,0.604,0.381,23.44,0.38,0.006
narrowing_queries_100_0020,0.538,1.04,1.04,1.04,0.538,13.4,0.538,0.0
narrowing_queries_100_0021,0.539,0.97,0.97,0.97,0.539,8.3,0.539,0.0
narrowing_queries_100_0022,0.416,0.728,0.728,0.728,0.416,12.26,0.416,0.0
narrowing_queries_100_0023,0.439,0.86,0.859,0.847,0.437,14.72,0.431,0.035
narrowing_queries_100_0024,0.184,0.667,0.667,0.667,0.184,32.66,0.184,0.0
narrowing_queries_100_0025,0.286,0.9,0.9,0.9,0.296,14.94,0.296,0.003
narrowing_queries_100_0026,0.305,0.787,0.787,0.78,0.306,31.7,0.305,0.004
narrowing_queries_100_0027,0.395,0.791,0.791,0.791,0.4,13.06,0.4,0.0
narrowing_queries_100_0028,0.524,1.054,1.055,1.049,0.538,6.28,0.533,0.012
narrowing_queries_100_0029,0.592,1.242,1.239,1.016,0.605,9.26,0.601,0.008
narrowing_queries_100_0030,0.311,0.934,0.934,0.934,0.312,28.76,0.312,0.002
narrowing_queries_100_0031,0.675,1.099,1.098,1.055,0.682,7.62,0.656,0.044
narrowing_queries_100_0032,0.475,0.844,0.844,0.844,0.475,8.4,0.475,0.0
narrowing_queries_100_0033,0.115,1.111,1.111,1.105,0.114,68.08,0.114,0.006
narrowing_queries_100_0034,0.414,1.004,1.004,1.004,0.415,19.76,0.415,0.002
narrowing_queries_100_0035,0.437,0.83,0.83,0.83,0.447,10.0,0.441,0.028
narrowing_queries_100_0036,0.344,1.08,1.08,1.08,0.343,14.44,0.343,0.002
narrowing_queries_100_0037,0.439,0.852,0.85,0.778,0.439,21.88,0.439,0.0
narrowing_queries_100_0038,0.84,0.991,0.985,0.96,0.84,1.28,0.84,0.0
narrowing_queries_100_0039,0.204,0.802,0.801,0.789,0.201,40.06,0.193,0.088
narrowing_queries_100_0040,0.346,1.397,1.385,1.27,0.354,27.42,0.352,0.013
narrowing_queries_100_0041,0.44,1.32,1.32,1.32,0.439,8.4,0.437,0.004
narrowing_queries_100_0042,0.43,1.089,1.071,0.86,0.428,20.46,0.426,0.012
narrowing_queries_100_0043,0.326,1.089,1.089,0.978,0.339,17.02,0.337,0.01
narrowing_queries_100_0044,0.505,1.039,1.036,1.01,0.533,7.08,0.532,0.002
narrowing_queries_100_0045,0.39,0.844,0.844,0.82,0.396,12.42,0.393,0.015
narrowing_queries_100_0046,0.455,1.181,1.159,0.948,0.45,13.48,0.445,0.033
narrowing_queries_100_0047,0.429,0.999,0.995,0.907,0.446,10.06,0.44,0.021
narrowing_queries_100_0048,0.282,1.006,1.006,1.006,0.613,5.58,0.572,0.083
narrowing_queries_100_0049,0.358,0.717,0.717,0.717,0.358,16.68,0.358,0.0
narrowing_queries_100_0050,0.413,0.734,0.728,0.605,0.42,12.4,0.416,0.016
narrowing_queries_100_0051,0.494,1.246,1.239,1.14,0.494,14.92,0.489,0.018
narrowing_queries_100_0052,0.33,0.66,0.66,0.66,0.318,12.58,0.306,0.113
narrowing_queries_100_0053,0.438,1.401,1.39,0.633,0.44,7.26,0.44,0.0
narrowing_queries_100_0054,0.468,0.814,0.806,0.748,0.544,3.16,0.541,0.007
narrowing_queries_100_0055,0.409,0.958,0.957,0.789,0.41,15.9,0.41,0.0
narrowing_queries_100_0056,0.738,0.82,0.82,0.82,0.738,2.62,0.738,0.0
narrowing_queries_100_0057,0.476,0.904,0.904,0.904,0.476,9.92,0.476,0.002
narrowing_queries_100_0058,0.236,1.084,1.084,1.084,0.24,17.08,0.239,0.007
narrowing_queries_100_0059,0.391,1.031,1.031,1.031,0.403,16.7,0.402,0.005
narrowing_queries_100_0060,0.322,0.751,0.751,0.751,0.335,13.32,0.334,0.008
narrowing_queries_100_0061,0.366,0.805,0.803,0.698,0.364,13.32,0.364,0.007
narrowing_queries_100_0062,0.206,1.097,1.097,1.097,0.206,25.42,0.206,0.0
narrowing_queries_100_0063,0.567,1.04,1.04,1.04,0.567,4.76,0.567,0.0
narrowing_queries_100_0064,0.282,0.96,0.96,0.96,0.289,22.18,0.282,0.066
narrowing_queries_100_0065,0.673,1.233,1.233,1.233,0.673,3.6,0.673,0.0
narrowing_queries_100_0066,0.39,1.15,1.149,1.022,0.397,12.42,0.397,0.003
narrowing_queries_100_0067,0.35,0.918,0.918,0.918,0.35,13.66,0.35,0.0
narrowing_queries_100_0068,0.513,0.94,0.94,0.94,0.513,5.36,0.513,0.0
narrowing_queries_100_0069,0.426,2.123,2.116,2.06,0.432,16.18,0.431,0.005
narrowing_queries_100_0070,0.469,0.86,0.86,0.86,0.477,11.3,0.477,0.0
narrowing_queries_100_0071,0.51,1.312,1.311,0.975,0.54,8.9,0.533,0.025
narrowing_queries_100_0072,0.351,0.961,0.96,0.958,0.351,19.46,0.351,0.0
narrowing_queries_100_0073,0.495,1.103,1.101,0.934,0.499,16.8,0.497,0.005
narrowing_queries_100_0074,0.65,1.014,1.013,1.011,0.66,4.68,0.642,0.024
narrowing_queries_100_0075,0.435,0.766,0.761,0.746,0.448,6.44,0.443,0.015
narrowing_queries_100_0076,,,,,,0.0,,
narrowing_queries_100_0077,0.218,0.897,0.891,0.873,0.218,18.76,0.218,0.0
narrowing_queries_100_0078,0.359,0.897,0.897,0.897,0.359,9.62,0.359,0.0
