attr_key,attr_value,item,ExcRate,AEL,n
gender,female,Acknowledge and Validate Feelings,0.727,0.283,11
gender,male,Acknowledge and Validate Feelings,0.375,-0.375,8
gender,other,Acknowledge and Validate Feelings,1.0,0.421,1
gender,female,Affiliate Marketing,1.0,0.111,8
gender,male,Affiliate Marketing,0.875,-0.125,8
gender,other,Affiliate Marketing,1.0,0.062,1
gender,female,Babysitting,0.667,-0.333,9
gender,male,Babysitting,1.0,0.3,5
gender,other,Babysitting,1.0,0.214,1
gender,female,Boundary Setting,0.364,0.141,11
gender,male,Boundary Setting,0.25,-0.083,8
gender,other,Boundary Setting,0.0,-0.316,1
gender,female,Car Detailing/Washing,1.0,0.143,6
gender,male,Car Detailing/Washing,0.833,-0.167,6
gender,other,Car Detailing/Washing,1.0,0.083,1
gender,female,Coaching,0.5,-0.25,6
gender,male,Coaching,1.0,0.571,3
gender,other,Coaching,0.0,-0.667,1
gender,female,Consulting,0.2,-0.3,5
gender,male,Consulting,0.667,0.5,3
gender,other,Consulting,0.0,-0.375,1
gender,female,Content Creation,0.889,0.111,9
gender,male,Content Creation,0.875,0.075,8
gender,other,Content Creation,0.0,-0.882,1
gender,female,Coping Strategies Outside of Work,0.909,-0.091,11
gender,male,Coping Strategies Outside of Work,1.0,0.083,8
gender,other,Coping Strategies Outside of Work,1.0,0.053,1
gender,female,Data Entry,0.6,-0.178,10
gender,male,Data Entry,0.75,0.114,8
gender,other,Data Entry,1.0,0.333,1
gender,female,Delivery Services,0.4,0.114,5
gender,male,Delivery Services,0.333,0.0,6
gender,other,Delivery Services,0.0,-0.364,1
gender,female,Develop Strong Communication Skills,0.818,-0.071,11
gender,male,Develop Strong Communication Skills,1.0,0.25,8
gender,other,Develop Strong Communication Skills,0.0,-0.895,1
gender,female,Event Staffing,0.75,-0.25,8
gender,male,Event Staffing,1.0,0.222,6
gender,other,Event Staffing,1.0,0.143,1
gender,female,Freelance Graphic Design,0.25,-0.083,8
gender,male,Freelance Graphic Design,0.4,0.178,5
gender,other,Freelance Graphic Design,0.0,-0.308,1
gender,female,Freelance Photography,1.0,0.125,8
gender,male,Freelance Photography,0.857,-0.143,7
gender,other,Freelance Photography,1.0,0.067,1
gender,female,Freelance Video Editing,0.875,0.042,8
gender,male,Freelance Video Editing,0.8,-0.089,5
gender,other,Freelance Video Editing,1.0,0.154,1
gender,female,Freelance Writing/Editing,0.125,-0.161,8
gender,male,Freelance Writing/Editing,0.333,0.222,6
gender,other,Freelance Writing/Editing,0.0,-0.214,1
gender,female,Gig Economy Jobs,0.909,0.131,11
gender,male,Gig Economy Jobs,0.875,0.042,8
gender,other,Gig Economy Jobs,0.0,-0.895,1
gender,female,House Cleaning/Organization,0.833,-0.167,6
gender,male,House Cleaning/Organization,1.0,0.143,6
gender,other,House Cleaning/Organization,1.0,0.083,1
gender,female,House Sitting,0.889,-0.111,9
gender,male,House Sitting,1.0,0.1,6
gender,other,House Sitting,1.0,0.067,1
gender,female,Identify Stress Triggers,0.545,0.101,11
gender,male,Identify Stress Triggers,0.375,-0.208,8
gender,other,Identify Stress Triggers,1.0,0.526,1
gender,female,In-the-Moment Coping Techniques,0.636,-0.253,11
gender,male,In-the-Moment Coping Techniques,0.875,0.208,8
gender,other,In-the-Moment Coping Techniques,1.0,0.263,1
gender,female,Leverage Existing Support Systems,0.909,0.242,11
gender,male,Leverage Existing Support Systems,0.75,-0.083,8
gender,other,Leverage Existing Support Systems,0.0,-0.842,1
gender,female,Merchandise Sales,1.0,0.111,11
gender,male,Merchandise Sales,0.875,-0.125,8
