item,persona_0001,persona_0002,persona_0003,persona_0004,persona_0005,persona_0006,persona_0007,persona_0008,persona_0009,persona_0010,persona_0011,persona_0012,persona_0013,persona_0014,persona_0015,persona_0016,persona_0017,persona_0018,persona_0019,persona_0020
Acknowledge and Validate Feelings,1,1,0,1,1,0,1,0,1,1,0,1,0,0,1,1,1,1,0,0
Boundary Setting,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0
Coping Strategies Outside of Work,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Develop Strong Communication Skills,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1
Identify Stress Triggers,0,1,1,0,0,1,0,0,1,1,0,1,1,1,0,0,1,0,1,0
In-the-Moment Coping Techniques,0,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1
Leverage Existing Support Systems,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1
Mindful Movement and Breathwork,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,1
Physical Well-being and Recovery,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1
Prioritize and Organize,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1
Proactive and Preventative Strategies,0,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
Simple Stress Relief Techniques,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1
Time Management and Organization,1,0,1,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,1,1
